STATE US ABBREVIATION,RC-PAIN RELIEVERS - PAST YEAR MISUSE,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count,Count SE
AZ,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.04,0.0044,0.032,0.05,0.025,0.003,0.019,0.031,242000,N/A,30000
CA,1 - Misused within the past year,0.004,0.0004,0.004,0.005,0.037,0.003,0.032,0.044,0.125,0.0095,0.108,0.145,1231000,N/A,104000
CO,1 - Misused within the past year,0.001,0.0002,0.001,0.001,0.046,0.0105,0.029,0.071,0.022,0.0052,0.014,0.035,220000,N/A,52000
CT,1 - Misused within the past year,0,0.0001,0,0,0.031,0.0054,0.022,0.044,0.01,0.0018,0.007,0.014,95000,N/A,17000
DC,1 - Misused within the past year,0,0,0,0,0.04,0.0066,0.029,0.056,0.002,0.0004,0.002,0.003,24000,N/A,4000
DE,1 - Misused within the past year,0,0,0,0,0.034,0.0064,0.023,0.049,0.003,0.0006,0.002,0.004,28000,N/A,6000
FL,1 - Misused within the past year,0.003,0.0003,0.002,0.003,0.039,0.0038,0.032,0.047,0.072,0.0071,0.06,0.088,712000,N/A,73000
GA,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.035,0.0043,0.028,0.045,0.031,0.0038,0.025,0.04,308000,N/A,38000
HI,1 - Misused within the past year,0,0,0,0,0.042,0.0074,0.03,0.06,0.005,0.0009,0.003,0.007,49000,N/A,9000
IA,1 - Misused within the past year,0,0.0001,0,0.001,0.044,0.0063,0.033,0.058,0.012,0.0017,0.009,0.015,115000,N/A,16000
ID,1 - Misused within the past year,0,0,0,0,0.044,0.0059,0.034,0.057,0.007,0.0009,0.005,0.009,64000,N/A,9000
IL,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.024,0.0027,0.019,0.03,0.026,0.0028,0.021,0.032,252000,N/A,28000
IN,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.037,0.005,0.028,0.048,0.021,0.003,0.016,0.027,204000,N/A,30000
KS,1 - Misused within the past year,0,0,0,0,0.04,0.0054,0.03,0.052,0.01,0.0013,0.007,0.013,95000,N/A,13000
KY,1 - Misused within the past year,0.001,0.0001,0,0.001,0.046,0.0062,0.035,0.06,0.017,0.0024,0.013,0.023,170000,N/A,23000
LA,1 - Misused within the past year,0.001,0.0001,0,0.001,0.043,0.0053,0.033,0.054,0.017,0.0024,0.013,0.022,163000,N/A,23000
MA,1 - Misused within the past year,0.001,0.0001,0,0.001,0.028,0.004,0.021,0.037,0.017,0.0023,0.013,0.022,168000,N/A,23000
MD,1 - Misused within the past year,0.001,0.0001,0,0.001,0.034,0.0065,0.024,0.05,0.018,0.0034,0.012,0.026,174000,N/A,33000
ME,1 - Misused within the past year,0,0,0,0,0.028,0.0051,0.019,0.04,0.003,0.0006,0.002,0.005,32000,N/A,6000
MI,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.039,0.0039,0.032,0.047,0.033,0.0034,0.027,0.041,328000,N/A,34000
MN,1 - Misused within the past year,0.001,0.0001,0,0.001,0.035,0.0052,0.026,0.047,0.017,0.0023,0.013,0.022,164000,N/A,23000
MO,1 - Misused within the past year,0.001,0.0001,0,0.001,0.034,0.0054,0.025,0.046,0.018,0.0028,0.013,0.024,174000,N/A,28000
MS,1 - Misused within the past year,0,0.0001,0,0.001,0.044,0.0064,0.033,0.058,0.011,0.0017,0.008,0.015,108000,N/A,17000
MT,1 - Misused within the past year,0,0,0,0,0.045,0.0073,0.033,0.062,0.004,0.0007,0.003,0.006,40000,N/A,7000
NC,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.035,0.0041,0.028,0.044,0.031,0.0038,0.024,0.039,305000,N/A,38000
ND,1 - Misused within the past year,0,0,0,0,0.036,0.0073,0.024,0.053,0.002,0.0005,0.002,0.003,22000,N/A,5000
NE,1 - Misused within the past year,0,0,0,0,0.024,0.0031,0.019,0.031,0.004,0.0005,0.003,0.005,38000,N/A,5000
NH,1 - Misused within the past year,0,0,0,0,0.031,0.0057,0.021,0.044,0.004,0.0007,0.003,0.005,36000,N/A,7000
NJ,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.028,0.0037,0.021,0.036,0.021,0.003,0.016,0.028,210000,N/A,29000
NM,1 - Misused within the past year,0,0,0,0,0.037,0.0051,0.028,0.048,0.007,0.001,0.005,0.009,65000,N/A,10000
NV,1 - Misused within the past year,0,0.0001,0,0.001,0.041,0.0052,0.032,0.053,0.011,0.0015,0.008,0.014,105000,N/A,15000
NY,1 - Misused within the past year,0.002,0.0002,0.001,0.002,0.027,0.0025,0.022,0.032,0.045,0.0042,0.037,0.054,440000,N/A,42000
OH,1 - Misused within the past year,0.001,0.0001,0.001,0.002,0.041,0.0041,0.034,0.05,0.041,0.004,0.034,0.05,406000,N/A,40000
OK,1 - Misused within the past year,0,0.0001,0,0.001,0.04,0.0066,0.029,0.055,0.013,0.0022,0.009,0.018,129000,N/A,22000
OR,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.051,0.0068,0.039,0.066,0.019,0.0025,0.014,0.024,182000,N/A,24000
PA,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.03,0.0031,0.025,0.037,0.034,0.0035,0.027,0.041,330000,N/A,35000
RI,1 - Misused within the past year,0,0,0,0,0.031,0.0054,0.022,0.043,0.003,0.0005,0.002,0.004,28000,N/A,5000
SC,1 - Misused within the past year,0.001,0.0001,0,0.001,0.035,0.0057,0.025,0.048,0.015,0.0025,0.011,0.021,149000,N/A,25000
SD,1 - Misused within the past year,0,0,0,0,0.024,0.0038,0.018,0.033,0.002,0.0003,0.001,0.002,17000,N/A,3000
TN,1 - Misused within the past year,0.001,0.0001,0,0.001,0.033,0.0053,0.024,0.045,0.019,0.0031,0.014,0.026,188000,N/A,31000
TX,1 - Misused within the past year,0.003,0.0003,0.002,0.004,0.035,0.0033,0.029,0.042,0.083,0.0076,0.07,0.1,820000,N/A,79000
UT,1 - Misused within the past year,0,0,0,0,0.036,0.0053,0.027,0.048,0.009,0.0014,0.007,0.012,91000,N/A,13000
VA,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.034,0.0039,0.027,0.043,0.025,0.0029,0.019,0.031,242000,N/A,29000
VT,1 - Misused within the past year,0,0,0,0,0.032,0.0062,0.022,0.047,0.002,0.0003,0.001,0.003,18000,N/A,3000
WA,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.043,0.0064,0.032,0.057,0.028,0.0041,0.021,0.037,273000,N/A,41000
WI,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.04,0.0067,0.029,0.056,0.02,0.0033,0.014,0.028,197000,N/A,33000
WV,1 - Misused within the past year,0,0,0,0,0.027,0.0037,0.021,0.035,0.004,0.0006,0.003,0.006,42000,N/A,6000
WY,1 - Misused within the past year,0,0,0,0,0.026,0.0045,0.019,0.036,0.001,0.0002,0.001,0.002,12000,N/A,2000
