STATE US ABBREVIATION,RC-PAIN RELIEVERS - PAST YEAR MISUSE,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count,Count SE
KS,1 - Misused within the past year,0,0,0,0,0.032,0.0057,0.022,0.045,0.009,0.0016,0.006,0.013,77000,N/A,13000
KY,1 - Misused within the past year,0.001,0.0001,0,0.001,0.039,0.0046,0.03,0.049,0.017,0.0021,0.013,0.022,145000,N/A,18000
LA,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.047,0.0057,0.037,0.059,0.021,0.0025,0.016,0.026,179000,N/A,21000
MA,1 - Misused within the past year,0.001,0.0001,0,0.001,0.025,0.0064,0.015,0.041,0.018,0.0044,0.011,0.029,154000,N/A,38000
MD,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.045,0.0077,0.033,0.063,0.028,0.0047,0.02,0.038,236000,N/A,40000
ME,1 - Misused within the past year,0,0,0,0,0.013,0.0036,0.007,0.022,0.002,0.0005,0.001,0.003,15000,N/A,4000
MI,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.023,0.0028,0.018,0.03,0.023,0.0029,0.018,0.03,200000,N/A,25000
MN,1 - Misused within the past year,0,0.0001,0,0.001,0.022,0.0051,0.014,0.035,0.012,0.003,0.008,0.02,106000,N/A,26000
MO,1 - Misused within the past year,0.001,0.0002,0.001,0.001,0.044,0.009,0.029,0.065,0.027,0.006,0.017,0.041,228000,N/A,52000
MS,1 - Misused within the past year,0,0.0001,0,0,0.036,0.0077,0.024,0.055,0.01,0.0022,0.007,0.016,89000,N/A,19000
MT,1 - Misused within the past year,0,0,0,0,0.026,0.0059,0.017,0.041,0.003,0.0007,0.002,0.005,25000,N/A,6000
NC,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.027,0.0044,0.019,0.037,0.028,0.0043,0.02,0.038,238000,N/A,37000
ND,1 - Misused within the past year,0,0,0,0,0.023,0.0118,0.008,0.062,0.002,0.001,0.001,0.005,14000,N/A,8000
NE,1 - Misused within the past year,0,0,0,0,0.019,0.0056,0.011,0.034,0.004,0.0011,0.002,0.007,31000,N/A,9000
NH,1 - Misused within the past year,0,0,0,0,0.018,0.0049,0.01,0.031,0.003,0.0007,0.002,0.004,22000,N/A,6000
NJ,1 - Misused within the past year,0.001,0.0002,0,0.001,0.026,0.0052,0.018,0.039,0.024,0.0054,0.016,0.038,208000,N/A,47000
NM,1 - Misused within the past year,0,0.0001,0,0,0.045,0.0085,0.03,0.065,0.009,0.0019,0.006,0.014,79000,N/A,16000
NV,1 - Misused within the past year,0,0.0001,0,0.001,0.052,0.0086,0.038,0.072,0.016,0.0031,0.011,0.024,140000,N/A,27000
NY,1 - Misused within the past year,0.002,0.0002,0.001,0.002,0.029,0.004,0.022,0.038,0.057,0.0079,0.043,0.074,487000,N/A,70000
OH,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.032,0.0039,0.025,0.041,0.037,0.0049,0.029,0.048,320000,N/A,42000
OK,1 - Misused within the past year,0,0.0001,0,0.001,0.04,0.0078,0.027,0.059,0.016,0.003,0.011,0.023,133000,N/A,26000
OR,1 - Misused within the past year,0.001,0.0001,0,0.001,0.04,0.0076,0.027,0.058,0.017,0.0035,0.011,0.026,146000,N/A,31000
PA,1 - Misused within the past year,0.001,0.0002,0.001,0.002,0.03,0.0042,0.023,0.04,0.039,0.0059,0.029,0.053,338000,N/A,52000
RI,1 - Misused within the past year,0,0,0,0,0.037,0.0107,0.021,0.065,0.004,0.0012,0.002,0.007,35000,N/A,10000
SC,1 - Misused within the past year,0,0.0001,0,0.001,0.029,0.0061,0.019,0.044,0.015,0.0035,0.009,0.024,128000,N/A,30000
SD,1 - Misused within the past year,0,0,0,0,0.021,0.0065,0.011,0.038,0.002,0.0006,0.001,0.003,15000,N/A,5000
TN,1 - Misused within the past year,0.001,0.0002,0.001,0.001,0.042,0.0091,0.027,0.064,0.029,0.0063,0.019,0.044,249000,N/A,55000
TX,1 - Misused within the past year,0.003,0.0003,0.002,0.003,0.031,0.0033,0.025,0.038,0.088,0.0092,0.071,0.108,752000,N/A,82000
UT,1 - Misused within the past year,0,0.0001,0,0.001,0.036,0.0061,0.026,0.05,0.012,0.0022,0.008,0.017,99000,N/A,19000
VA,1 - Misused within the past year,0.001,0.0001,0,0.001,0.027,0.0051,0.018,0.039,0.023,0.0047,0.015,0.034,195000,N/A,40000
VT,1 - Misused within the past year,0,0,0,0,0.025,0.0062,0.016,0.041,0.002,0.0004,0.001,0.003,14000,N/A,4000
WA,1 - Misused within the past year,0.001,0.0001,0,0.001,0.024,0.0045,0.016,0.035,0.018,0.0036,0.012,0.027,157000,N/A,31000
WI,1 - Misused within the past year,0,0.0001,0,0.001,0.023,0.0043,0.016,0.033,0.014,0.0027,0.009,0.02,116000,N/A,23000
WV,1 - Misused within the past year,0,0,0,0,0.036,0.0081,0.023,0.055,0.006,0.0015,0.004,0.01,55000,N/A,13000
WY,1 - Misused within the past year,0,0,0,0,0.033,0.0056,0.023,0.046,0.002,0.0003,0.001,0.003,16000,N/A,3000
